"{20195, 143.319230383935, 127.603586289604, 115.987675437272, 0.804383773154495, 5.41378854402705, 4986.47935703261, 51.2421102658362, 97.3121390037123, 7.42272544316797, 17.9975977528968, 144.002739623468, 1.76050347703493, 345.354075579609, 1.90835092471179, 19.0816008961932, 81.711603737463, 77.352515600634, 1.57780125759735, 0.164263103339623, 27.1538853757883, 0.0320950358035527, 590.040442052884}","{40355, 105.679031267537, 92.984129800643, 83.6009417598955, -0.782051609568503, 2.35911522697979, 3570.58996803839, 41.3927381452422, 86.2612653337793, 7.48508436326922, 10.4626996660902, 135.270879873496, 0.313661651153254, 397.638110427425, 1.63198467581757, 16.3182147734999, 41.0518213978973, 35.7668991099209, 0.941990367718589, 0.116096613181312, 14.679812919093, 0.017379685573796, 592.494251043359}"
"{20195, 139.619842564344, 120.903141322045, 107.069057795128, 2.52299560919379, 7.54178309180086, 5824.35673368781, 61.0272963114852, 95.4385510372294, 7.4305668111069, 18.8814749675788, 146.753151135703, 6.91639826876881, 271.911790914248, 1.04012604940651, 10.4002203680157, 81.6397196545222, 75.6549139898802, 1.92321836561242, 0.166854891862246, 26.5481415478771, 0.0298284998590244, 482.00991399247}","{40355, 124.579913981213, 113.220047019008, 104.823623612161, -0.990554513481019, 3.1449818868868, 4132.17258772136, 37.0397517269103, 111.560482861424, 7.46871208054244, 12.4432593759031, 138.357882681311, 0.373370013527819, 366.37309343234, 1.49260013807578, 14.9245087806197, 50.1737778320845, 44.8948202609884, 0.522916041139585, 0.1236970315121, 20.5592047361759, 0.0198308178253965, 1304.1610458232}"
"{20195, 136.421800031296, 118.614380815749, 105.452375308605, 2.58432009170307, 7.284997973319, 5555.74868178951, 58.0625097842573, 95.6856447031482, 7.43320042172121, 18.5909130606975, 147.210038952759, 8.86887203887767, 302.180703718326, 1.65859596403787, 16.5843010444146, 84.4360492592932, 82.4377273838529, 2.14553412104725, 0.161356561531801, 27.3906068020693, 0.0289459937272468, 431.747979770585}","{40355, 125.540420372057, 112.057773043185, 102.092338060975, 0.116238671927809, 4.2059580981798, 4626.3195140547, 43.9612463195614, 105.236313830259, 7.4685532687389, 12.9978433148379, 143.084522434689, 1.76065291374523, 313.691575207224, 1.80481674046332, 18.0463625878927, 63.9788895054339, 57.7523583442888, 1.55733448803219, 0.153220915828555, 23.8059802843304, 0.0200768896084867, 517.947117914732}"
"{20195, 140.735239284898, 121.62788450799, 107.505057064188, 3.01284803449305, 7.38260441841867, 5930.35047958907, 62.3010533001266, 95.1886070211436, 7.42764650946272, 19.2359113889028, 146.721998713621, 7.49174767368164, 287.367430661562, 1.20986772485741, 12.0974673808492, 85.2017076535887, 84.1800104248639, 1.70947511157821, 0.16496554767177, 25.22749819714, 0.0308163839638308, 528.60371193287}","{40355, 128.297713316951, 110.658507233617, 97.6208331720213, 1.92251184371036, 5.68633988336201, 5542.4438921737, 57.5140374583859, 96.3668025598779, 7.46012167467534, 15.6620305975869, 145.811158927449, 4.31891605835266, 305.456727275927, 1.24385251618761, 12.4372813093599, 80.974618826842, 74.4034321984144, 1.42193635974369, 0.149654939989504, 21.2816554455039, 0.0219207074625791, 545.785032204801}"
"{20195, 141.33547526019, 123.401444796041, 110.14585706167, 2.20339305250181, 7.244054455483, 5587.33585562678, 58.4753358525265, 95.5502995265888, 7.43161779171831, 18.7922949900158, 147.212486040332, 4.55853426800451, 277.401907965357, 1.2191955085505, 12.1907358899964, 79.2498418306683, 73.0597302337092, 2.11967174846447, 0.163172471577993, 27.1042433873492, 0.0293953083618657, 437.485942426381}","{40355, 120.549361452654, 109.27698405781, 100.945226852925, -1.04746193637824, 2.90650875886596, 3860.04698408013, 36.7544850187259, 105.022475001717, 7.47037349932154, 12.6848281905662, 140.287915782684, 0.242132044850049, 334.563537330258, 1.38021088455562, 13.8007286346717, 43.5791286636265, 39.0123269135705, 0.878170990100715, 0.141851415606015, 19.4186159092519, 0.0196990346015039, 800.098878068417}"
"{20195, 134.933283925433, 119.763325800673, 108.550748056285, 1.36140902574766, 6.25864585785759, 4681.62017486708, 49.4628576653411, 94.6492054005911, 7.42236504042967, 17.1872243262416, 142.895679835143, 7.69496828225526, 318.467618991803, 1.42944195652593, 14.2929901233028, 67.8334581998819, 61.1680890736928, 1.8831152785304, 0.171013928308224, 26.5538874262284, 0.032180997978618, 496.214512684259}","{40355, 113.610194342422, 103.920156360394, 96.7579543736769, -1.2981001471189, 2.5383826272477, 3133.08363434851, 31.5951412347357, 99.1634634917853, 7.47286568758405, 11.4053865740497, 135.202780269784, 0.442153432738996, 368.667663231289, 1.23833407887781, 12.3821024546992, 33.6471552085247, 29.5066871603215, 1.08620152877767, 0.153840616305003, 14.9799419694909, 0.0195580906446966, 598.403096669678}"
"{20195, 139.37849982247, 123.803937079232, 112.292303747273, 0.877162556205426, 6.15859471483365, 4897.0987260797, 50.782103274982, 96.4335545450376, 7.42995918311964, 17.5457938974429, 144.930568158927, 5.84128762216259, 303.263371995837, 1.39045344385384, 13.9031439850946, 73.3553030259537, 66.142443762453, 1.98613715318012, 0.16507499998788, 27.0028973916768, 0.0299793131436506, 465.874716784543}","{40355, 94.1481920335354, 82.1010393914212, 73.1966222211628, -1.0066109721222, 2.30494491617327, 3122.9615805445, 39.2807014698964, 79.5037120948016, 7.49001150448878, 10.0466778777722, 133.599603222416, 0.494522073520163, 355.569201080936, 0.912011679336738, 9.11920478168805, 25.4412441429338, 22.2504816704209, 0.821052345647524, 0.101505324476499, 13.9210758222266, 0.0158573683431693, 618.488232904123}"
"{20195, 141.392872180459, 123.602643126601, 110.453343391141, 2.13450029029307, 6.41918390357121, 5508.07573994717, 58.0064598918389, 94.9562471182993, 7.42692814122428, 18.6524475267532, 146.231995496233, 7.47511253204615, 287.853054130666, 1.25921559960018, 12.5908967804022, 80.5821797882627, 77.9958189108398, 1.98351862769754, 0.163595314157077, 26.7553327678643, 0.0312453427114018, 467.469761735635}","{40355, 127.005415165868, 115.853184882309, 107.610232064025, -1.02018844142967, 2.60726464215939, 3958.78754289264, 36.3627357854384, 108.869353677122, 7.4693856788392, 12.6344081915766, 139.099558175602, 0.473747170775524, 371.571975593616, 1.69043333313149, 16.9026428979817, 52.1690160364761, 46.1329190775169, 0.694503918040271, 0.128559334010185, 20.7191983088127, 0.0199985968910694, 1003.90058705633}"
"{20195, 138.707166827421, 122.311474298691, 110.192918951369, 1.67174214141767, 6.32955203578755, 5083.71959210887, 53.4594623929523, 95.0948506504074, 7.42889520813876, 17.9646819425589, 145.199592016485, 6.60043259701536, 287.193597913282, 1.14307359921425, 11.4295929185433, 72.3269588070444, 66.0381829197662, 2.00960032159965, 0.16190245681758, 27.115322005622, 0.0305768770133738, 460.595513790599}","{40355, 113.801857466555, 103.154064699753, 95.2839570025521, -1.13977018574725, 2.40272374336773, 3444.51909625318, 34.7179770532621, 99.2142799958887, 7.47153184474139, 11.8388214044123, 137.948556183034, 0.341974806800467, 322.735850654304, 0.999936047831239, 9.99836054226456, 35.703215961502, 31.7650989752245, 1.09120484818426, 0.158750709002588, 16.9822088515755, 0.0196530651880059, 636.614488371152}"
"{20195, 137.885939837193, 120.852691663965, 108.262899535926, 1.88152192240406, 6.90484893629062, 5257.9717892278, 55.5382633914931, 94.6729600125231, 7.42292543999664, 18.1181646121666, 145.172937304924, 9.55032005789542, 304.980783696093, 1.5047975063983, 15.0464702664766, 82.7123548155254, 78.3390230080775, 2.09890788511535, 0.16519431349423, 26.4969347819315, 0.0322176784988593, 441.493285943663}","{40355, 123.058585321657, 112.3652223332, 104.461432298254, -1.15334697096891, 3.04407969730052, 3678.60692617139, 34.8665623933776, 105.505294289353, 7.46928305166056, 12.1867318919055, 137.797055669062, 0.7169901885981, 403.839624955081, 2.07905941226889, 20.7885150632766, 51.7346332755325, 45.1542045059252, 0.676717572335017, 0.115073262584075, 21.1239222594048, 0.0198658194129099, 994.934521169398}"
"{20195, 143.888650580815, 130.509362857458, 120.620324105411, -0.122785699270511, 4.47285941940104, 4416.00618956143, 43.62423408697, 101.228280151753, 7.42621255931087, 17.514550245954, 142.804184689826, 1.00487797083741, 361.733840427953, 1.94448152401829, 19.4428707586588, 66.5939893818505, 59.015321056589, 1.2633362494709, 0.165066544498073, 29.890478987151, 0.0307480843884224, 766.869676810549}","{40355, 83.3248043987193, 71.843032663537, 63.3565057288371, -1.19821208547015, 1.33680782680402, 2688.35078664061, 37.4372319562508, 71.8095501767391, 7.48961401239126, 9.70455408876749, 130.774167563456, 0.256977842415705, 399.704630323977, 0.854843473056631, 8.54757988709325, 17.2250406751851, 14.9438547618112, 0.78794998435528, 0.0858610756486292, 10.4148680612253, 0.0151656948210454, 525.055273551594}"
"{20195, 139.068293929918, 123.879840136059, 112.653591679728, 1.00590057641986, 4.94694475964898, 4812.48029962233, 49.5231642687304, 97.1763491021715, 7.43014929952143, 17.6412509058295, 144.91672907614, 1.91197548472122, 293.839873750694, 1.20542735686068, 12.0530681412499, 69.9300401863336, 63.0722560592193, 1.95312081060407, 0.163615506135488, 28.2372896734447, 0.030037277253737, 482.625823948115}","{40355, 99.7488734449598, 89.258613208846, 81.5049425995445, -1.2577414703417, 1.36327360952198, 3055.51765154613, 34.2043296800128, 89.3313121505673, 7.49710392438501, 10.1504351615021, 134.055877296988, 0.139296444276834, 345.933496519765, 0.913537091940018, 9.13445738230824, 27.382415299625, 23.865795694519, 0.938739084218475, 0.119285325618341, 13.0982383323728, 0.0151110856599837, 564.848682692684}"
"{20195, 138.858886293532, 121.978756299683, 109.502138478142, 1.55657994344511, 6.97291344563825, 5330.65555090128, 55.0390093625534, 96.8523164322807, 7.4347157398055, 18.101840198323, 146.601042291556, 2.85608177134268, 273.687537777037, 1.14282801598084, 11.4271373317924, 72.999614467417, 66.8647649588811, 2.10072562829724, 0.168144254088641, 28.4422202504495, 0.0283737278125767, 453.874688764808}","{40355, 108.778217256769, 96.9578581371095, 88.2210709617094, -0.97764179130067, 2.83888294868612, 3734.00082115097, 38.5412231121868, 96.883298443382, 7.48611844418443, 10.7186213715268, 138.406812776659, 0.221053703888545, 281.204930652708, 0.926667982980108, 9.2657531618181, 32.3983078048025, 29.0148774438579, 1.39220196608437, 0.162066097596685, 17.530459658783, 0.016903571633323, 504.05041069083}"
"{20195, 143.710562723431, 126.071925659341, 113.034672177188, 1.9902399183529, 6.77339822645726, 5488.06486793473, 57.5121821257814, 95.4243894959875, 7.42949252701995, 18.7911446471259, 146.785308940551, 6.42344534340805, 269.29867848873, 0.988983016275798, 9.88884117974171, 77.3593352594208, 71.0197932001055, 2.04297265416126, 0.157655146828942, 27.2802584972197, 0.0302809826946408, 451.324913373517}","{40355, 122.841548655182, 111.162286547147, 102.529788467295, -0.889185598399629, 2.84066671687092, 3938.93565417165, 38.0811650589225, 103.435271690795, 7.46588938413381, 13.0779403932975, 140.763952259281, 0.40891599218322, 310.40695207432, 0.993820415254976, 9.93721033213451, 43.3613622382018, 38.8779826298046, 0.973935079590547, 0.148014474337904, 20.0799522392275, 0.0206282997288552, 749.184525588466}"
"{20195, 143.361442749392, 124.625765238452, 110.777655773845, 2.71609233524561, 7.09939379609608, 5815.41205808777, 61.0891699479874, 95.195466938561, 7.42814959933992, 19.2448374522457, 147.494955698683, 7.4832088243785, 271.670013732707, 1.10142134388316, 11.0131120174877, 85.997571457718, 81.4016848517887, 2.11121079559037, 0.161197665491804, 26.7016868883257, 0.030551214062393, 436.304856406303}","{40355, 128.852800702555, 116.900967686201, 108.067004152374, -0.728311209753408, 2.99862268599172, 4261.84277788826, 38.9699042321641, 109.362413428019, 7.46812632657109, 13.0429057993495, 141.147942041049, 0.501762030576659, 331.367253098017, 1.35993951566956, 13.5980352171799, 53.1568432234699, 47.8854964713161, 0.860908663714582, 0.141702842418834, 21.5349296856455, 0.0202619781824704, 861.005686638963}"
"{20195, 144.421334155985, 124.131845463186, 109.135266864161, 3.76933268053761, 8.78326590032952, 6259.30159612862, 66.1554951609544, 94.6149912550715, 7.42207963499673, 19.9524327185458, 146.795576235753, 21.9476008676149, 293.470062846266, 1.27868267227536, 12.7855480400813, 85.6797763719894, 84.6391613622631, 1.61669160268869, 0.167418727891786, 23.7264451795306, 0.0321676092896753, 550.040547603368}","{40355, 134.586676221848, 114.940162462429, 100.418826205467, 2.98293816963485, 7.55961753493331, 6075.63671903444, 64.059024139045, 94.8443533240032, 7.45309310838877, 18.1137546516175, 148.013825833003, 15.3078853238053, 295.120210691799, 1.03739988968044, 10.3729614969147, 84.7867553012175, 83.1877180292537, 1.47353720240022, 0.145678609492548, 23.6636596416332, 0.0234848420648658, 557.071970208726}"
"{20195, 138.084345274523, 119.881780106804, 106.427710200229, 2.49085537483309, 7.95703077794605, 5667.81692596841, 59.3509146584561, 95.4967073141962, 7.43255796279494, 18.6079931950488, 147.247322783923, 17.2260088717018, 290.929380985011, 1.48250912727155, 14.8236087635882, 84.3566156010004, 82.2136164870028, 2.13387839920444, 0.163220011540074, 27.5698451976138, 0.0291147196826694, 437.707618309358}","{40355, 125.615001293105, 111.042376493992, 100.2713059903, 0.407914415937004, 5.0998011225884, 4882.81339523888, 47.5152047435433, 102.763176999724, 7.4642112764945, 13.4400498478634, 143.728531748855, 4.52942150682417, 296.845082815994, 1.5531069706888, 15.5295165999173, 69.1848183139725, 62.6967195936992, 1.56215591089359, 0.147273072233605, 24.0866715181978, 0.0208526285242274, 513.890477996862}"
"{20195, 140.177706066079, 121.277196300953, 107.307254300642, 2.55883151361863, 7.97522477469953, 5856.83286284474, 61.6266186515681, 95.0373879176919, 7.42634575192171, 19.0709252224667, 145.699800391063, 4.60598148955581, 291.362579737217, 1.1036375179448, 11.0352715419301, 79.0933980145459, 76.9565381835042, 1.50808184745895, 0.161539964986759, 23.9908733155034, 0.030814427303515, 580.35629216629}","{40355, 128.768092691035, 110.944539438473, 97.7706087735366, 1.67956130464275, 6.47323950984399, 5576.44644070259, 58.1151160979896, 95.9551802546515, 7.46049640678125, 15.419880307629, 145.02384139465, 2.84947233985039, 304.918397428778, 1.05895855235863, 10.5885265650339, 76.2962282204781, 72.346842732394, 1.322127532068, 0.142817164628255, 21.1213084405159, 0.0217121918810058, 573.360118009068}"
"{20195, 141.775550858324, 124.434894291717, 111.617887264225, 1.98524958322276, 7.83774345018373, 5363.84902624368, 56.5405929616689, 94.8672227381846, 7.41907278938242, 18.451058357398, 143.99981624391, 16.8682128571382, 325.546433857749, 1.38538309687834, 13.8524455856865, 82.4575341252195, 79.0783913993313, 1.46499483377798, 0.169088662051558, 24.2145534149112, 0.0332338838141207, 612.760836153092}","{40355, 128.637769577738, 114.044279342642, 103.25778656018, 0.359194023333429, 5.38472061930696, 4685.47790241052, 47.5832381607511, 98.4690845667442, 7.459417149564, 13.994244153379, 141.002241526865, 5.17444880276658, 330.238738022766, 1.16776940493892, 11.6765262799843, 67.4480692182116, 61.0860242680752, 1.15127569603913, 0.140898367905847, 21.4740916925156, 0.0221918563843194, 652.817241370743}"
"{20195, 142.185465907407, 121.869261152469, 106.852935898819, 3.5396083480042, 8.98073263145691, 6283.84833076274, 66.2426050110999, 94.8611294756568, 7.42492939058073, 19.7011332256598, 146.977695592611, 23.9219161694153, 289.367947828802, 1.32677082567701, 13.2663814859444, 87.0085363871697, 85.8916086824967, 1.66786594628101, 0.157866736287842, 24.6449669406733, 0.0312227421693162, 528.88020126769}","{40355, 131.831466581789, 112.340639354293, 97.9343757513601, 2.68287846349305, 7.67364463996728, 6037.53569890602, 63.5513957919162, 95.0024090528944, 7.4592262398728, 17.0897989445712, 147.626686659316, 16.8981234181251, 285.890602946453, 1.09271405757118, 10.9260478616542, 82.9596192063003, 80.3932350616439, 1.57351232519807, 0.143692105845346, 24.0596086148304, 0.0220497968019019, 519.435265894625}"
"{20195, 142.196869816996, 124.12807371937, 110.772876603734, 2.32639280670441, 6.400762125357, 5591.59785316979, 58.9147499426641, 94.9099819418997, 7.42683018602834, 18.8704273398817, 146.810415077732, 4.86183786996524, 272.961138106784, 1.08076241583432, 10.8065433959273, 78.5699504599096, 76.2294479275325, 2.07084910883808, 0.159880102314493, 27.014286243839, 0.0311193819231174, 446.470956720975}","{40355, 124.754443921202, 113.966144474696, 105.992184014235, -1.11674387500135, 2.22612749750447, 3819.05173908473, 35.1761102822449, 108.569472532396, 7.46936562842474, 12.7113884293066, 139.446372661346, 0.207443092542563, 366.732634697735, 1.50162952919835, 15.0147936624543, 46.9901804198597, 41.4936953166663, 0.652640346021901, 0.124177067540432, 20.040819865017, 0.0198471365773044, 1034.93154260268}"
"{20195, 135.673885231957, 121.078256349381, 110.290182827477, 0.563588711697206, 5.92789668030108, 4594.9486500224, 47.5902113913329, 96.5523899912583, 7.42946855508759, 16.560576955736, 141.863006916002, 5.36138886708019, 346.735896658874, 1.70261316260698, 17.0244290129072, 68.8030787672062, 61.7159446083572, 1.49775091036186, 0.173720428605464, 25.8108665570597, 0.0301397144751984, 612.872921455951}","{40355, 84.935792377978, 73.7817453674973, 65.5374497510551, -1.23337843740966, 1.89819980976508, 2691.92438734783, 36.368659368376, 74.017696392971, 7.49211267520928, 9.75129765073772, 131.02890164797, 0.220573925318035, 402.009123691935, 0.874770605975073, 8.74683128914475, 17.4056476582794, 15.1239815887089, 0.828184858282513, 0.0885563229865275, 11.6339084411894, 0.0152329769506214, 530.239915901469}"
"{20195, 140.871738196032, 122.868301700017, 109.561413855137, 2.3302771818248, 6.94447862147985, 5567.74351747581, 58.7016397517882, 94.8481770018394, 7.41965202847678, 18.6700769492261, 144.570480333027, 9.30560535878395, 312.861241523076, 1.34246290569692, 13.4232865940635, 84.242735445591, 81.3528121808865, 1.5451181843459, 0.169563607292778, 24.7198041871884, 0.033430868036712, 588.086600175472}","{40355, 127.641552299027, 111.499914256659, 99.5691383122994, 1.16633703660274, 5.16843956917215, 5088.0124129926, 52.6310974894497, 96.6731201836049, 7.45984459493585, 14.7757552728588, 143.164319752808, 4.1625731619657, 326.687228946037, 1.23300605415334, 12.3288275354793, 74.8782845668705, 68.0901133892323, 1.25567369431578, 0.143254657040119, 21.2100480532962, 0.0219745235523131, 602.919983819987}"
"{20195, 142.650449784409, 126.008441446873, 113.707826588694, 1.24119315977296, 6.04439058633363, 5213.82199299081, 54.2625947214331, 96.0850106736863, 7.42040718305501, 18.1861875719811, 143.827026666724, 2.27150605036748, 342.383793619808, 1.73004140055012, 17.2986839641006, 85.2663222774783, 82.3726688067738, 1.49093347450394, 0.165234048598194, 25.5226095387778, 0.0328951394677867, 609.734460906198}","{40355, 129.451002226108, 114.375823660675, 103.23330037318, 0.459559471415718, 4.5897040875696, 4792.26242719057, 49.1538213572646, 97.49521593365, 7.45238410861799, 14.2831751013999, 141.685752349715, 1.05574765643578, 377.278213400866, 1.91903338362225, 19.1884148028389, 78.0549798212435, 69.3473725611461, 1.21541235625391, 0.141677641262399, 19.5604067738973, 0.0238616203278803, 597.688835157502}"
